Sample Rate (Hz),6400
Sample Index,Time (s),ADC Value
382,0.059687,775
383,0.059844,2311
384,0.060000,1543
385,0.060156,2824
386,0.060312,2824
387,0.060469,1800
388,0.060625,2055
389,0.060781,3336
390,0.060937,3335
391,0.061094,1799
392,0.061250,1799
393,0.061406,3592
394,0.061562,2823
395,0.061719,3592
396,0.061875,2311
397,0.062031,775
398,0.062187,3335
399,0.062344,3079
400,0.062500,1288
401,0.062656,1543
402,0.062812,2055
403,0.062969,3335
404,0.063125,3335
405,0.063281,2312
406,0.063437,1031
407,0.063594,2312
408,0.063750,3335
409,0.063906,3335
410,0.064062,1032
411,0.064219,2823
412,0.064375,1544
413,0.064531,2823
414,0.064687,1543
415,0.064844,1288
416,0.065000,3336
417,0.065156,2823
418,0.065312,2312
419,0.065469,3336
420,0.065625,2567
421,0.065781,1799
422,0.065937,1031
423,0.066094,1287
424,0.066250,775
425,0.066406,1288
426,0.066562,1287
427,0.066719,2054
428,0.066875,3336
429,0.067031,2311
430,0.067187,1287
431,0.067344,1031
432,0.067500,2311
433,0.067656,775
434,0.067812,3848
435,0.067969,1288
436,0.068125,2823
437,0.068281,3335
438,0.068437,1288
439,0.068594,1031
440,0.068750,3335
441,0.068906,3079
442,0.069062,2312
443,0.069219,2312
444,0.069375,1800
445,0.069531,3335
446,0.069687,3848
447,0.069844,1287
448,0.070000,2056
449,0.070156,3080
450,0.070312,1287
451,0.070469,3847
452,0.070625,3335
453,0.070781,2055
454,0.070938,3335
455,0.071094,3335
456,0.071250,2311
457,0.071406,3336
458,0.071563,2311
459,0.071719,3335
460,0.071875,3080
461,0.072031,2823
462,0.072188,776
463,0.072344,1287
464,0.072500,1288
465,0.072656,2055
466,0.072813,776
467,0.072969,2056
468,0.073125,1031
469,0.073281,776
470,0.073438,1287
471,0.073594,3335
472,0.073750,1287
473,0.073906,1287
474,0.074063,3334
475,0.074219,1287
476,0.074375,3592
477,0.074531,1800
478,0.074688,2311
479,0.074844,2823
480,0.075000,1288
481,0.075156,3336
482,0.075313,3848
483,0.075469,3335
484,0.075625,2823
485,0.075781,3079
486,0.075938,3848
487,0.076094,1287
488,0.076250,3335
489,0.076406,3079
490,0.076563,2823
491,0.076719,2055
492,0.076875,1287
493,0.077031,1799
494,0.077188,3336
495,0.077344,1032
496,0.077500,2311
497,0.077656,776
498,0.077813,3335
499,0.077969,1799
500,0.078125,775
501,0.078281,2823
502,0.078437,2823
503,0.078594,3335
504,0.078750,3336
505,0.078906,2823
506,0.079062,3079
507,0.079219,1287
508,0.079375,2312
509,0.079531,2824
510,0.079687,775
511,0.079844,1287
512,0.080000,1031
513,0.080156,1288
514,0.080312,2312
515,0.080469,2312
516,0.080625,2055
517,0.080781,2312
518,0.080937,775
519,0.081094,1544
520,0.081250,3335
521,0.081406,3591
522,0.081562,1031
523,0.081719,2311
524,0.081875,3079
525,0.082031,2823
526,0.082187,3079
527,0.082344,1031
528,0.082500,3336
529,0.082656,2055
530,0.082812,1030
531,0.082969,3079
532,0.083125,775
533,0.083281,3336
534,0.083437,2311
535,0.083594,1288
536,0.083750,1286
537,0.083906,1287
538,0.084062,3336
539,0.084219,2823
540,0.084375,1032
541,0.084531,776
542,0.084687,3335
543,0.084844,2823
544,0.085000,1288
545,0.085156,2055
546,0.085312,3846
547,0.085469,2312
548,0.085625,3848
549,0.085781,775
550,0.085938,3336
551,0.086094,1288
552,0.086250,1032
553,0.086406,1799
554,0.086563,1288
555,0.086719,1288
556,0.086875,3080
557,0.087031,2311
558,0.087188,1032
559,0.087344,3335
560,0.087500,3336
561,0.087656,1288
562,0.087813,2824
563,0.087969,1288
564,0.088125,2568
565,0.088281,2055
566,0.088438,2056
567,0.088594,2056
568,0.088750,2055
569,0.088906,1544
570,0.089063,2311
571,0.089219,3079
572,0.089375,2056
573,0.089531,3336
574,0.089688,3336
575,0.089844,3335
576,0.090000,775
577,0.090156,2056
578,0.090313,1288
579,0.090469,1800
580,0.090625,3847
581,0.090781,3079
582,0.090938,2312
583,0.091094,1032
584,0.091250,2312
585,0.091406,2311
586,0.091563,3080
587,0.091719,775
588,0.091875,2312
589,0.092031,3336
590,0.092188,2312
591,0.092344,776
592,0.092500,3335
593,0.092656,3335
594,0.092813,2056
595,0.092969,3847
596,0.093125,2056
597,0.093281,2311
598,0.093438,3335
599,0.093594,1799
600,0.093750,1800
601,0.093906,2312
602,0.094062,2312
603,0.094219,1287
604,0.094375,3335
605,0.094531,2311
606,0.094687,2311
607,0.094844,1288
608,0.095000,3336
609,0.095156,2055
610,0.095312,3335
611,0.095469,3079
612,0.095625,2824
613,0.095781,3079
614,0.095937,1286
615,0.096094,1288
616,0.096250,3335
617,0.096406,2312
618,0.096562,1287
619,0.096719,2055
620,0.096875,2311
621,0.097031,3079
622,0.097187,774
623,0.097344,1799
624,0.097500,262
625,0.097656,2312
626,0.097812,1287
627,0.097969,2311
628,0.098125,3079
629,0.098281,3336
630,0.098437,263
631,0.098594,2311
632,0.098750,1287
633,0.098906,1031
634,0.099062,2311
635,0.099219,2824
636,0.099375,1543
637,0.099531,1287
638,0.099687,1287
639,0.099844,3336
640,0.100000,2824
641,0.100156,776
642,0.100312,2823
643,0.100469,1288
